squad,fbref_url,fbref_squad_id
Real Madrid B,https://fbref.com/en/squads/206d90db/real-madrid-b-Stats,206d90db
AlmerÃ­a,https://fbref.com/en/squads/almeria,Not found
Sevilla,https://fbref.com/en/squads/ad2be733/sevilla-Stats,ad2be733
Manchester City,https://fbref.com/en/squads/manchester-city,Not found
Valencia,https://fbref.com/en/squads/dcc91ea4/valencia-Stats,dcc91ea4
Middlesbrough,https://fbref.com/en/squads/middlesbrough,Not found
BeÅŸiktaÅŸ,https://fbref.com/en/squads/beikta,Not found
CÃ¡diz,https://fbref.com/en/squads/cadiz,Not found
Valladolid,https://fbref.com/en/squads/valladolid,Not found
Espanyol,https://fbref.com/en/squads/espanyol,Not found
Getafe,https://fbref.com/en/squads/getafe,Not found
Swansea City,https://fbref.com/en/squads/swansea-city,Not found
GimnÃ stic,https://fbref.com/en/squads/gimn-stic,Not found
Zaragoza,https://fbref.com/en/squads/zaragoza,Not found
Sporting GijÃ³n,https://fbref.com/en/squads/sporting-gijon,Not found
Sabadell,https://fbref.com/en/squads/sabadell,Not found
Kerala Blasters,https://fbref.com/en/squads/kerala-blasters,Not found
Goa,https://fbref.com/en/squads/goa,Not found
Arenas Club de Getxo,https://fbref.com/en/squads/arenas-club-de-getxo,Not found
Benfica,https://fbref.com/en/squads/benfica,Not found
Real Madrid,https://fbref.com/en/squads/206d90db/real-madrid-Stats,206d90db
Manchester Utd,https://fbref.com/en/squads/manchester-utd,Not found
Paris S-G,https://fbref.com/en/squads/paris-s-g,Not found
Juventus,https://fbref.com/en/squads/juventus,Not found
Rosario Central,https://fbref.com/en/squads/rosario-central,Not found
Barcelona,https://fbref.com/en/squads/206d90db/barcelona-Stats,206d90db
Barcelona B,https://fbref.com/en/squads/206d90db/barcelona-b-Stats,206d90db
Aston Villa,https://fbref.com/en/squads/aston-villa,Not found
Wolves,https://fbref.com/en/squads/wolves,Not found
Fulham,https://fbref.com/en/squads/fulham,Not found
Betis,https://fbref.com/en/squads/c1a1f8b5/betis-Stats,c1a1f8b5
West Ham,https://fbref.com/en/squads/west-ham,Not found
Liverpool,https://fbref.com/en/squads/liverpool,Not found
La CoruÃ±a,https://fbref.com/en/squads/la-coruna,Not found
AlavÃ©s,https://fbref.com/en/squads/alaves,Not found
MÃ¡laga,https://fbref.com/en/squads/malaga,Not found
AtlÃ©tico Madrid,https://fbref.com/en/squads/db3b9613/atletico-madrid-Stats,db3b9613
Porto,https://fbref.com/en/squads/porto,Not found
Villarreal,https://fbref.com/en/squads/dcc91ea4/villarreal-Stats,dcc91ea4
Osasuna,https://fbref.com/en/squads/osasuna,Not found
Rangers,Not found,Not found
Tottenham,Not found,Not found
Sunderland,Not found,Not found
Mallorca,Not found,Not found
Nott'ham Forest,Not found,Not found
Bolton,Not found,Not found
Rayo Vallecano,Not found,Not found
Lleida,Not found,Not found
Wigan Athletic,Not found,Not found
Como,Not found,Not found
Genk,Not found,Not found
Toronto FC,Not found,Not found
Inter Miami,Not found,Not found
Konyaspor,Not found,Not found
Al-Fayha,Not found,Not found
Bastia,Not found,Not found
Arsenal,Not found,Not found
Charlton Ath,Not found,Not found
Rubin Kazan,Not found,Not found
Sion,Not found,Not found
Udinese,Not found,Not found
Inter,Not found,Not found
Marseille,Not found,Not found
Nancy,Not found,Not found
Bursaspor,Not found,Not found
EskiÅŸehirspor,Not found,Not found
Hull City,Not found,Not found
Al-Shabab,Not found,Not found
Granada,Not found,Not found
Watford,Not found,Not found
West Brom,Not found,Not found
LeganÃ©s,Not found,Not found
VitÃ³ria SetÃºbal,Not found,Not found
Lyon,Not found,Not found
Olympiacos,Not found,Not found
Yeni Mal'spor,Not found,Not found
Antalyaspor,Not found,Not found
Athletic Club,Not found,Not found
Boca Juniors,Not found,Not found
UniÃ£o de Leiria,Not found,Not found
Sporting CP,Not found,Not found
VitÃ³ria,Not found,Not found
BalÄ±kesirspor,Not found,Not found
