player_name,nation,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Óliver Torres,es ESP,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,30,"November 10, 1994 (Age: 30-350d)","Navalmoral de la Mata, Spain",178cm,Spain,FW-MF (AM-CM-WM),Right,Monterrey,2012-2013,17,Atlético Madrid,2012,https://www.transfermarkt.com/oliver-torres/profil/spieler/214775,oliver-torres,214775,Óliver Torres,10/11/1994 (30),1994,Navalmoral de la Mata,1.75,Spain,Midfield - Central Midfield,right,Monterrey,1/7/2024,30/06/2027,NA,19/08/2012,17,LaLiga,No second tier career,NA,No second tier career,17,8,254,42,6,No,NA,NA,No,NA,NA,NA,13,8,No,0,Not_national_team,Not_national_team,Not_national_team,436,24868,28
Óscar,es ESP,https://fbref.com/en/players/627650df/Oscar,42,11/12/1982,NA,181cm,Spain,MF (AM-WM),NA,NA,2001-2002,18,Valladolid,2001,https://www.transfermarkt.com/oscar-gonzalez/profil/spieler/7818,oscar-gonzalez,7818,Óscar González,12/11/1982 (42),1982,Salamanca,1.75,Spain,Midfield - Attacking Midfield,right,Real Valladolid,1/7/2016,NA,NA,7/10/2001,18,LaLiga,19/09/2010,27,Segunda División,18,2,42,6,2,No,NA,NA,Yes,1/7/2016,2016,15,15,NA,No,0,Not_national_team,Not_national_team,Not_national_team,449,28425,87
Óscar Díaz,es ESP,https://fbref.com/en/players/5a5ed410/Oscar-Diaz,41,4/24/1984,NA,180cm,NA,FW-MF (AM-WM),NA,NA,2005-2006,21,Real Madrid B,2005,https://www.transfermarkt.com/oscar-diaz/profil/spieler/30802,oscar-diaz,30802,Óscar Díaz,24/04/1984,1984,Madrid,1.83,Spain,Attack - Centre-Forward,right,Unknown,1/7/2023,NA,NA,19/08/2013,29,LaLiga,20/12/2005,21,Segunda División,21,1,7,1,1,No,NA,NA,No,NA,NA,NA,20,NA,No,0,Not_national_team,Not_national_team,Not_national_team,307,17161,44
Óscar de Marcos,es ESP,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,36,4/14/1989,NA,180cm,Spain,"DF-FW-MF (DM-FB, right)",Right,NA,2008-2009,19,Alavés,2008,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,oscar-de-marcos,96718,Óscar de Marcos,14/04/1989 (36),1989,Laguardia,1.82,Spain,Defender - Right-Back,right,Athletic Club,1/7/2025,NA,NA,30/08/2009,20,LaLiga,21/12/2008,19,Segunda División,19,25,668,91,10,No,NA,NA,Yes,1/7/2025,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,557,41273,38
Óscar Serrano,es ESP,https://fbref.com/en/players/c862ecc5/Oscar-Serrano,43,9/30/1981,NA,175cm,NA,"MF (AM-WM, left)",NA,NA,2004-2005,22,Espanyol,2004,https://www.transfermarkt.com/oscar-serrano/profil/spieler/26373,oscar-serrano,26373,Óscar Serrano,30/09/1981 (44),1981,Blanes,1.78,Spain,Midfield - Left Midfield,left,Alavés,1/7/2014,NA,NA,28/08/2004,22,LaLiga,16/08/2013,31,Segunda División,22,2,396,44,2,No,NA,NA,Yes,1/7/2014,2014,10,10,NA,No,0,Not_national_team,Not_national_team,Not_national_team,235,15036,17
Óscar Trejo,ar ARG,https://fbref.com/en/players/fc647b34/Oscar-Trejo,37,"April 26, 1988 (Age: 37-183d)","Santiago del Estero, Argentina",177cm,NA,FW-MF (AM),Right,Rayo Vallecano,2006-2007,18,Mallorca,2006,https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,oscar-trejo,30321,Óscar Trejo,26/04/1988 (37),1988,Santiago del Estero,1.8,Argentina  Italy,Midfield - Attacking Midfield,right,Rayo Vallecano,1/7/2017,30/06/2026,NA,3/7/2005,17,Torneo Final,30/08/2009,21,Segunda División,17,5,75,12,3,No,NA,NA,No,NA,NA,NA,19,8,No,0,Not_national_team,Not_national_team,Not_national_team,589,38157,70
Óscar Ustari,ar ARG,https://fbref.com/en/players/40e417fa/Oscar-Ustari,39,"July 3, 1986 (Age: 39-115d)","america, Argentina",184cm,Argentina,GK,Right,Inter Miami,2007-2008,21,Getafe,2007,https://www.transfermarkt.com/oscar-ustari/profil/spieler/3755,oscar-ustari,3755,Óscar Ustari,03/07/1986 (39),1986,América,1.83,Argentina  Italy,Goalkeeper,right,Miami,9/9/2024,31/12/2026,NA,6/27/1905,19,Torneo Inicial,NA,NA,NA,19,8,840,131,7,No,NA,NA,No,NA,NA,NA,18,19,No,0,Not_national_team,Not_national_team,Not_national_team,304,26753,0
Édgar Méndez,es ESP,https://fbref.com/en/players/aed746df/Edgar-Mendez,35,"January 2, 1990 (Age: 35-297d)","Arafo, Spain",188cm,NA,FW-MF (AM-WM),Right,Prachuap FC,2014-2015,24,Almería,2014,https://www.transfermarkt.com/edgar-mendez/profil/spieler/133794,edgar-mendez,133794,Edgar Méndez,2/1/1990,1990,Arafo,1.87,Spain,Attack - Right Winger,right,PT Prachuap FC,27/08/2025,30/06/2026,NA,23/08/2014,24,LaLiga,25/08/2013,23,Segunda División,23,3,68,12,3,No,NA,NA,No,NA,NA,NA,11,17,No,0,Not_national_team,Not_national_team,Not_national_team,258,14907,39
Éric Abidal,fr FRA,https://fbref.com/en/players/016828bd/Eric-Abidal,45,9/11/1979,NA,186cm,France,"DF (FB, left)",Right,NA,2000-2001,20,Monaco,2000,https://www.transfermarkt.com/eric-abidal/profil/spieler/5283,eric-abidal,5283,Éric Abidal,11/09/1979 (46),1979,Lyon,1.86,France  Martinique,Defender - Left-Back,left,Olympiacos,1/1/2015,NA,NA,16/09/2000,21,Ligue 1,No second tier career,NA,No second tier career,21,10,583,125,7,No,NA,NA,Yes,1/1/2015,2015,15,15,NA,Yes,8,34,3009,0,381,31478,0
Éver Banega,ar ARG,https://fbref.com/en/players/fa937f7a/Ever-Banega,37,"June 29, 1988 (Age: 37-119d)","Rosario, Argentina",174cm,Argentina,MF (AM-CM-DM-WM),Right,Newell's Old Boys,2007-2008,19,Valencia,2007,https://www.transfermarkt.com/ever-banega/profil/spieler/12249,ever-banega,12249,Éver Banega,29/06/1988 (37),1988,Rosario,1.74,Argentina  Spain,Midfield - Central Midfield,right,Newell's,21/01/2024,31/12/2025,Nike,5/8/2007,19,Torneo Inicial,No second tier career,NA,No second tier career,19,9,350,67,6,No,NA,NA,No,NA,NA,NA,18,5,Yes,8,37,2203,4,599,43408,66
